ID:2;Video Name:car.mp4;Start time:04:00;End time:05:00;Until:2024-7-31;Duration:1;Type task:daily;Start date:2024-7-22;label:NGU;Days:
ID:4;Video Name:car.mp4;Start time:14:46;End time:14:50;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:TEST;Days:
ID:5;Video Name:car.mp4;Start time:14:50;End time:17:25;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:1;Days:
ID:6;Video Name:car.mp4;Start time:14:51;End time:14:55;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:2;Days:
ID:7;Video Name:car.mp4;Start time:14:52;End time:14:55;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:3;Days:
ID:8;Video Name:coca-cola.mp4;Start time:14:59;End time:15:00;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:4;Days:
ID:9;Video Name:coca-cola.mp4;Start time:15:03;End time:15:05;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:5;Days:
ID:10;Video Name:car.mp4;Start time:15:30;End time:15:35;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:6;Days:
ID:11;Video Name:dog.mp4;Start time:15:34;End time:15:35;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:7;Days:
ID:12;Video Name:dog.mp4;Start time:15:35;End time:15:36;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:7;Days:
ID:13;Video Name:car.mp4;Start time:15:37;End time:15:40;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:7;Days:
ID:14;Video Name:dog.mp4;Start time:15:35;End time:15:36;Until:2024-7-21;Duration:0;Type task:onetime;Start date:2024-7-21;label:7;Days:
ID:15;Video Name:dog.mp4;Start time:14:58;End time:15:00;Until:2024-9-29;Duration:0;Type task:onetime;Start date:2024-9-29;label:OKE29;Days:
ID:1;Video Name:dog.mp4;Start time:15:12;End time:16:00;Until:2024-9-29;Duration:0;Type task:onetime;Start date:2024-9-29;label:null;Days:
ID:1;Video Name:dog.mp4;Start time:01:00;End time:02:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-29;label:1;Days:
ID:2;Video Name:dog.mp4;Start time:01:00;End time:02:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-29;label:1;Days:
ID:3;Video Name:coca-cola.mp4;Start time:02:00;End time:06:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-29;label:2;Days:
ID:4;Video Name:car.mp4;Start time:06:00;End time:11:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-29;label:3;Days:
ID:5;Video Name:car.mp4;Start time:06:00;End time:11:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-29;label:3;Days:
ID:6;Video Name:travel.mp4;Start time:11:00;End time:15:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-29;label:4;Days:
ID:7;Video Name:dog.mp4;Start time:15:00;End time:20:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-29;label:5;Days:
ID:8;Video Name:dog.mp4;Start time:15:00;End time:20:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-29;label:5;Days:
ID:9;Video Name:coca-cola.mp4;Start time:20:00;End time:23:55;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-29;label:6;Days:
ID:1;Video Name:dog.mp4;Start time:11:05;End time:15:00;Until:2024-11-30;Duration:1;Type task:daily;Start date:2024-9-30;label:1;Days:
ID:2;Video Name:coca-cola.mp4;Start time:15:00;End time:18:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:2;Days:
ID:3;Video Name:car.mp4;Start time:18:00;End time:23:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:3;Days:
ID:4;Video Name:travel.mp4;Start time:01:00;End time:03:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:4;Days:
ID:5;Video Name:coca-cola.mp4;Start time:03:00;End time:06:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:5;Days:
ID:6;Video Name:car.mp4;Start time:06:00;End time:11:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:6;Days:
ID:1;Video Name:dog.mp4;Start time:20:20;End time:20:25;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:Test-8pm-1;Days:
ID:2;Video Name:coca-cola.mp4;Start time:20:25;End time:20:30;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:Test-8pm-2;Days:
ID:3;Video Name:car.mp4;Start time:20:30;End time:20:40;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:Test-8pm-3;Days:
ID:4;Video Name:travel.mp4;Start time:20:40;End time:21:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:Test-8pm-4;Days:
ID:5;Video Name:dog.mp4;Start time:21:00;End time:22:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:Test-9pm;Days:
ID:6;Video Name:car.mp4;Start time:20:45;End time:21:00;Until:2024-9-29;Duration:0;Type task:onetime;Start date:2024-9-29;label:LISTVIDEO2;Days:
